# Non-merge commits touching src/mgr/MgrClient.cc and/or src/mgr/MgrClient.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
7f787704cdcd55df18d204c5251cdd6a3cedd604 2018-05-29 Sage Weil | mgr: use entity_addrvec_t for MgrMap
bae47183c2621577ba564d29c82a0517ab8a7f54 2018-04-30 John Spray | mgr/MgrClient: add mgr_optional mode
39ffec281af577c766c619d568f7a7051d108b00 2018-04-25 Danny Al-Gaaf | misc: mark constructors as explicit
38fba24c03861179a8c3bf850038a1be006ae397 2018-04-24 Casey Bodley | mgrc: free MMgrClose in handle_mgr_close
082a700ac80a78c6a153dc7dc2eed6bc1d640889 2018-03-13 Sage Weil | mgr/MgrClient: close mgr session on daemon MgrClient shutdown
2e92ae2471b560af6f728dcbe404eea18868b38d 2018-04-17 Luo Runbing | mgr/MgrClient: service registration filtered by service name instead of daemon name
ce6e043a44e35144b038bc0236b5d244ffee1ca5 2018-03-27 Wilson E. Alvarez | src: Added const references to various function parameters
714ffe0d5f078e4106ddbd8b57918ae2a0c899af 2018-03-13 Shanchun Lv | mgr,osd: make osd_metric more popular
b17ff3c54b38c37f715a8cd165eba2c6b79f8d70 2018-03-15 Kefu Chai | mgr/MgrClient: guard send_pgstats() with lock
8e2a30068accd74c4bb452852375e7e94e00c50b 2018-02-02 Sage Weil | mgr/MgrClient: only send config_bl if it has changed
86cf85e0a2c5086df63ee8fc287502cb901b1073 2018-01-05 Sage Weil | mgr: get config defaults on session open
d8450574cf4884f5d45ef09fce99b7ad24b332a6 2017-12-04 Sage Weil | mgr/MgrClient: report running config to mgr
8fb421070473ea212302f790f7da8e8939011d35 2018-01-27 Rubab-Syed | mgr: add units to performance counters
156c941ad0d27c3cd487a085e04df9faeeffa768 2017-12-25 Adam C. Emerson | mgr: Use unqualified encode/decode
6fed1d21be1adf1464b5834787c95fae205a91b5 2017-10-24 Kefu Chai | mgr/MgrClient: send health_checks using MMgrReport
5faf1787573bb4896a67889471b3c033dbeacf04 2017-10-23 Kefu Chai | mgr/MgrClient: extract MMgrReport sending code into a separated method
f0592e6e76540085ece61f216dda8144a4708118 2017-10-23 Kefu Chai | rados,mgr: pass daemon_status by rvalue reference
f724509d4fd6d70c25a85322204d14d1a853e073 2017-10-23 Kefu Chai | mgr/MgrClient: store registered event returned by add_event_after()
88163749b572ffd2bfe0850136fad5dbed2a9180 2017-09-25 John Spray | mgr: respect perf counter prio_adjust in MgrClient
f304f84cfbc22c1a54d152cc38227077bc564a7e 2017-09-01 John Spray | mgr: transmit perf counter prio to the mgr
ec09a7abc515f802451bf7ef3d22ce8ee6c6c7b3 2017-08-30 John Spray | mgr: remove old-style config opt usage
bdc775fdd8acdad5c58ff3065a21396f80ce5db4 2017-07-31 John Spray | mgr: apply a threshold to perf counter prios
2449b3a5c365987746ada095fde30e3dc63ee0c7 2017-07-13 Kefu Chai | common,mds,mgr,mon,osd: store event only if it's added
