# Non-merge commits touching src/mgr/ClusterState.cc and/or src/mgr/ClusterState.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
d6d1db62edeb4c40a774fcb56e7619b2997ff2d0 2017-05-23 Sage Weil | mgr: apply PGMap incremental at same interval as reports
0612b716275403f2bd34846c6082654f35115847 2017-05-19 Sage Weil | mgr: simplify handling of new pgs/pools
681d37c05554b8d57cf70c9b4809e6967f03ccd2 2017-05-19 Sage Weil | mgr/ClusterState: apply latest osdmap to pgmap
74752505bfc30de11821fc5c7e6a6631a1cba2b6 2017-05-17 Kefu Chai | mgr: add a command "mgr report"
27bd39cd0550a25be39d93737c0dc91c25d34a33 2017-05-16 Sage Weil | mgr/ClusterState: report health about pgs
b73e4374147210628a64267cfeaf3970c55a45eb 2017-05-12 Sage Weil | mgr: send PGMapDigest instead of PGMap to mon
759c7d0aee11acf3a14492c239d2bc5493cb841f 2017-03-10 Greg Farnum | mon: mgr: send a pgmap in reports
ff1258e7ef39f1f1a69ef6475445712c1dc6e037 2017-03-10 Greg Farnum | mgr: introduce tick() calls through the system
983fe8ec888b998cee33680390173fe6636574f3 2017-05-20 Kefu Chai | mon,mgr: std::move(osd_stat) when possible
3da07ea0a599c92f24053e5d6778fa2fda89a461 2017-03-20 Song Baisen | mgr: optimization some judgment and adjust the debug remove value in register_new_pgs
6646b35ac76d518f7d764724b8a2cf7e4f8356ee 2017-04-09 Kefu Chai | mgr,mon,osdc: more constness
c14b913bad3898e90630fcc7a4340783a985469f 2017-04-09 Kefu Chai | mgr/DaemonServer: always template the return value
3f514bda1cfc6a0833f62edff98a279ebbd2a22b 2017-04-06 Wei Jin | mgr: clean nonused function declaration
1113eb123b1470f19feb3539153cad5159e54509 2017-04-04 Sage Weil | mgr/Mgr: use cond (not context) for FSMap wait
454da5e7b24c3e8bc4b0e61ca4460fdcc90d5168 2017-02-24 Kefu Chai | mon: pass const variables by const ref not pointer
3893432646b7bb70a85b72ca1bd827c42fdd912a 2017-02-10 Sage Weil | mgr: mark stale PGs
b9182564c716fdfcb39cc77314ba295990dd4312 2016-11-16 Adam C. Emerson | dout: Use dout_context
45b33934e878908332c9fee239b47db7657302ee 2016-09-23 John Spray | mgr: fixup ClusterState with_*map fns
afa7078763efc053814434d4b0dae08dd2295349 2016-09-22 John Spray | mon: refactor PGMap updating code for reuse in mgr
ea46778e3681e5ed6b322f68ab40747b2e052433 2016-07-31 John Spray | mgr: expose "df" to python modules
fa147e3a591a4d74a7a8692b17add420ffc9bf98 2016-07-31 John Spray | mgr: handle PGStats with a PGMap
ac30e6cee2b2d3815438f1a392a951d511bddfd4 2016-06-30 John Spray | mgr: create ceph-mgr service
